0,review
감은사지삼층석탑,"감은사는 신라 제30대 문무대왕이 삼국통일의 대업을 성취하고 난 후, 부처님의 힘으로 왜구의 침입을 막고자 이곳에 절을 세우다 완성하지 못하고 돌아가자 아들인 신문왕이 그 뜻을 좇아 즉위한 지 2년 되던 해인 682년에 완성한 신라시대의 사찰이었다. 문무대왕은 죽기 전 내가 죽으면 바다의 용이 되어 나라를 지키고자 하니 화장하여 동해에 장사지낼 것을 유언하였는데, 그 뜻을 받들어 장사한 곳이 바로 대왕암이며 부왕의 은혜에 감사하여 사찰을 완성하고 이름을 감은사라 하였다고 전하고 있다. 현재의 모습은 1979년부터 2년에 걸쳐 전면 발굴조사를 실시하여 얻어진 자료를 통해 창건 당시의 건물 기초대로 노출 정비한 것이며, 아울러 금당의 지하에는 바다용이 된 문무대왕의 휴식을 위한 상징적인 공간을 마련한 특수 구조와 동쪽으로 통로를 만들었다고 하는 흔적도 밝혀 놓은 것이다.우뚝 솟은 두 삼층석탑은 만들어진 연대가 확실한 통일신라 초기의 석탑으로서 수십 개의 부분으로 나누어 만들어 조립식으로 세운 것으로 전체 높이 13.4m에 이르는 신라 삼층석탑 중 최대의 것이다."
감은사지삼층석탑,무엇을 더 말할 수 있을까...
감은사지삼층석탑,송대말등대 들렸다가 근처에 있길래 가봤는데 이야… 일출전이나 일몰전에 가시길 추천드립니다. 해가 산자락에 살짝 걸쳤을 때 장관임
감은사지삼층석탑,석탑이 보수 공사중이라 아쉬웠네요...잠시 들리시기에 좋을듯 합니다.
감은사지삼층석탑,삼국을 통일한 문무왕이 심심하면 동해안을 약탈하는 왜구로부터 나라를 지키기 위한 호국사찰로 창건한 감은사. 그렇지만 문무왕은 절이 완공되는 것을 보지 못하고 세상을 떠났고 아들인 신문왕이 완성했습니다. 문무대왕릉과 멀지 않은 곳에 있기에 아마도 문무왕을 기리는 사찰인 원찰로서의 기능도 했을 것으로 보이는 감은사. 실제 현재 남아 있는 감은사지의 석재는 용이 드나들 수 있도록 하는 독특한 구조를 했던 것으로 보입니다. 인근의 이견대와 함께 만파식적 설화의 장소이기도 했던 곳. 사찰 앞으로는 배가 드나들었던 흔적이 남아있어 과거 감은사의 모습을 상상하게 합니다. 강당이 있던 자리에 앉아 두 탑을 한번 가만히 바라봐보세요. 감은사지의 묘미는 거기에 있답니다.
감은사지삼층석탑,웅장한 삼층석탑. 동해안 문무대왕릉 바다 옆.
감은사지삼층석탑,오랜만에 만난 감은사! 예전보다 잘 정비되어있어서 감사했는데ㅡ아직 정비중이라 조용하고 고즈넉한 분위기는 아쉬웠어요. 문화재를 위한일이니 다음에 다시 방문하기로!
감은사지삼층석탑,멋있어요. 사람도 없고 여유로워 좋았음. 감은사지보고 바다보러가세요~~
감은사지삼층석탑,별보러 왔어요~^^
감은사지삼층석탑,아이와 좋은 시간이었습니다.
감은사지삼층석탑,새파란 잔디 위로 아름다웠던 두 탑. 갑자기 비가 와서 도망쳤는데 좀더 느긋하게 보고싶었다
감은사지삼층석탑,조용하고 한적 해서 좋아요.
경북천년숲정원,좋아요
경북천년숲정원,240309일 경주여행 모두가 찾는곳
경북천년숲정원,포토존 봄 .가을날씨에 사진찍기 좋은곳 추천합니다 👍
경북천년숲정원,넘 더울때 가서 제대로. 보지도 못하고 왔어요 사진은 멋지던데. 실제로는 좀 실망
경북천년숲정원,천년의 사랑 - 숲튽훈
경북천년숲정원,힐링 장소입니다. 무료 입장에 메타세쿼이아길 대박~~👍
경북천년숲정원,정말 이쁘고 산책하기 좋아요
경북천년숲정원,"도시에 이런 넓은 숲이 있는 경주가 부러웠습니다. 숲과 사진명소, 쉼의 공간으로 좋았는데 주차공간 부족이 아쉬웠습니다"
경북천년숲정원,여유롭게 산책하기도 참 좋고 중간중간 의자가 있어 좋아요. 반대편 연구원 길 앞도 한적하니 좋아요!작년보다 올해 더 자연스러워진 식물들이 사랑스럽네요~ 내년은 또 더 이뻐지겠죠!
경북천년숲정원,벚꽃축제를. 즐기기위해. 경주를 방문했으나개화가늦어 좀은실망스러웠는데이곳을방문해서. 많은힐링읋고옴메타세콰이어숲을. 충분히감상할수있는곳
경북천년숲정원,단풍들때 꼭 와 볼 곳인듯 해요.
경북천년숲정원,"봄부터 가을까지 예쁜 사진을 찍을 수 있는 사진 명소. 통나무다리 스팟은 많은 스냅촬영 장소로 각광받는 포인트 입니다 :D 하절기, 동절기 개방시간이 다르니 꼭 시간을 확인하고 방문하시는 걸 추천드립니다. 봄~여름에는 초록초록한 분위기를, 가을 단풍철에는 메타세쿼이아 가로수가 물드는 풍경이 매력적인 곳이에요. 숨겨진 벚꽃 명소도 있답니다 ㅎㅎ 다만 장소 특성상 겨울은 좀 아쉬워요. 사진명소로서의 의미뿐만 아니라 경북 지역에 있는 천연기념물로 지정된 나무들의 후계목을 보존하는 공간도 있으니 천천히 둘러보시는 걸 추천드립니다."
경북천년숲정원,이곳을 아직도 안 가신 분이 계시다면.. 얼른 다녀오세요!
경북천년숲정원,한적하게 힐링할 수 있는곳🌿 거기에 무료입장까지
경북천년숲정원,산책하기좋아요
경북천년숲정원,계절마다 다른 매력이 있을듯 합니다가을에 가도 충분히 멋져요..!봄에 피는 꽃을 많이 심어놔서 봄이 특히 더 기대됩니다!!
경북천년숲정원,이미 너무 유명해져서 사람이 넘처납니다.주차장까지 가는것도 한세월~~그래도 일단 들어가면 완전 좋습니다.들어갈때 통일전 방향에서 가는걸 추천.
경북천년숲정원,작지만 아기자기해서 따뜻한 봄날에 가면 좋을듯
경북천년숲정원,해가 짧아지는 계절이 오면 운영시간이 짧아진다그래서 한번 갔다가 운영시간 끝나서다른날 다시 왔다 주차장이 생각보다 협소해서 애먹음규모가 생각보다 크고 나무들이 멋지다포토존인 넘어진 나무 위에서 사진을 찍으려면상당히 오래 기다려야할것 같음..
경북천년숲정원,조용히 산책하기 좋아요개념없이 사진찍는 사람만 피하면...
경북천년숲정원,"입장료 무료 주차 가능한 시간정도 걷기 좋고분재나 전시용으로는 타 수목원 등 대비해서 아직 덜 자라거나 조성이 미흡한 편이고 양귀비 등 자잘자잘한 꽃 정도는 있어요. 철쭉이 필 때나 벚꽃이나 은행 질 때 이쁠 거 같긴 해요.산책로는 일부 오래된 부분도 있어서 그런가 부모님이 좋아하셨어요.사람이 적어서, 걷기 좋아서 여유부리고 싶을 때 오기 좋은 곳"
경북천년숲정원,원래 아름다운 자연 그 자체였는데돈이 남았는지 다 갈아 엎음 나무크려면 20년 뒤에 와야할듯이라고 적었는데나무 쳐 박아놓은거보니 한숨만 나오네나무 가지 뻗은 만큼 뿌리도 뻗어야 건강한 나무임사람보기 좋으라고 돌사이에 나무만 쳐박아놨네장담하는데 작은 솔방울만 잔뜩 맺히고 절때 안커짐
경북천년숲정원,멋있고 아름다운 경북천년숲정원이 만들어 졌습니다. 넘 아름다운 숲정원입니다.
경북천년숲정원,인위적인 느낌이 강해졌지만 구경하기 좋아요~몇 년뒤에 더 자연스러워질거라 생각해요꽃 많고 중간중간 의자가 있어 좋아요👍👍
경북천년숲정원,무료입장이고 메타세콰이어나무 숲에 가면 좁지만 원시림에 들어간 기분이 납니다.
경주 양동마을,고즈넉하이 초가집도보고 한옥 좋네예 1시간 산책하면서 아이스크림먹기에 딱
경주 양동마을,"입장료 아까움..   기와,초가집   많은데  차도 믾고, 중장비, 외제차  안어울림.출입불가  많음"
경주 양동마을,"마을 내에 차도 많이 다니고 별로 볼게 없네여..관람료도 4,000 원..."
경주 양동마을,"현재와는 맞지않지만 유교적 예제, 상하구분 등 그 당시 유교문화가 남아있는 마을"
경주 양동마을,경주 한옥마을
경주 양동마을,"경주..한옥마을..입장료 4,000원세계문화유산으로 등재된 마을..."
경주 양동마을,날좋은날 걷기 너무 좋았어요
경주 양동마을,내가 공부를 해서 오면 다르게 보일텐데
경주 양동마을,완전 기대이상. 불국사+석굴암(같은날 아침에 방문하고 오후에 여기 옴)보다 덜 알려진것 같은데 개인적으로 훨씬 기억에 남음. 특히 차소리 전혀 안들리는 너어어어무 편안한 그 고요함이 인상적.반드시 해설사 선생님과 함께 투어 하시기를 추천합니다. 해설 1시간쯤 해주시고 이제부터 니들끼리 놀아라 하심. 해설사 쌤이랑 빠빠이하고 나서 한시간쯤은 돌아다니며 사진찍고 풍광즐기기 좋음. 여행 코스로 3시간 쯤 잡으면 넉넉할듯.
경주 양동마을,바람 쐐러  가기 좋아요
경주 양동마을,돈내고 들어갈정도는 아님이걸 왜돈을받지?
경주 양동마을,"역사가 깊은 마을 봄, 가을에 걷기 좋음"
경주 양동마을,놀이공원 입장료는 안 아깝고 유네스코 세계문화유산 입장료 4천원은 아까운 사람들
경주 양동마을,주차장 넓게 조성 잘되어있고 입구도 시설잘되어있음...근데 입장료내고 들어간곳 치고는 동네 산책외에 사먹는거 말고는...뭐하나 보려 먼길 걸어 찾아가도 대문만 들어섰다 나오는격~ 실제 생활하는 공간이라해도 개방된곳도 없고 장사하는곳만...정말 입장료내고 산책하고 나오는곳...지금보다 더워지면 최악일듯~ 기대만큼 나올때는 실망이커서 매우 아쉬웠던곳!
경주 양동마을,혼자 203번 버스 타고 갔다왔는데 입장료내고 충분히 볼만합니다
경주 양동마을,입장료4천원은 다소 과한듯
경주 양동마을,"언덕들 사이사이 집들이 모여 있는 모습이 위에서 보면 스머프 집들 생각도 나고 멀리 논밭이 보이는 풍경,영화같은 쉼터도 좋았어요.전 5월에 갔지만 가을도 멋질 것 같아요. 다시 가고 싶어요. 3시간 여유잡고 가면 좋겠어요. 주차장 좋아요."
경주 양동마을,자전거를 이용하셔서 방문하시는 것은 포기하시는것이 좋습니다. 이전에 다른 자전거 운전자들이 마을내에서 난폭운전을 하여 문화재를 파손하고 보행자들을 다치게 하는 사건을 벌인적이 있어서 지금은 문화재 보호와 보행자 안전보호를 위해서 마을내에서의 자전거 운전을 금지하고 있기 때문입니다.
경주 양동마을,한국에서 한옥마을을 꼽으라면 단연 최고입니다. 개인적으로 전주나 안동보다 더 좋아해요 ㅠㅠ
경주 양동마을,"양동 민속마을은 조선시대 전통문화와 자연을 고스란히 간직하고 있는 한국 최대 규모의 집성촌으로 월성 손 씨와 여강 이 씨에 의해 형성되었다또한 옛 명문대가의 영광스러운 자취와 선조들의 삶이 배어있는 200년 이상된 고가 54호가 보존되어 있어 조선 중기 이후의 다양하고 특색있는 우리나라 전통가옥 구조를 한눈에 볼 수 있다. 단, 마을을 둘러볼 때는 집안에 살고 있는 분들에게 폐가 되지 않도록 배려하면 더욱 좋을 것이다."
경주 양동마을,여기저기 조용히 산책하기 좋은 곳. 이정표가 좀 더 잘 돼있더라면. 사람 사는 집 안들어가게 조심.
경주 양동마을,초가집과 기와집 실컷보고옴과거로간것만같아서 주막에가서 전이랑 탁주시키고싶던데 주막은없음ㅋㅋㅋ생활공간이라서 마을전체를 구경하고 안쪽에 분위기에 안맞는 매점들만 몇개있음.입장료도 받던데 저략적으로 이런저런것들을 만들어 상품화시키면좋을듯.한복을입는다거나 민속적인걸루다
경주 양동마을,관리만 좀 더 잘되면 좋을듯합니다..입장권이 좀 비싼게 그렇네요..그래도 한적하고 조용하니 좋네요!!
경주 양동마을,"생각보다 마을 엄청 넓어서 제대로 보면 2~3시간걸림. 근데 좀 이게 세계문화유산등재됐는데 마을 안 곳곳에 식당,찻집,민박집이 섞여있고 사람이 실제로 사는곳은 억지로라도 볏집으로 지붕 올린듯한느낌이 많이 남."
경주 양동마을,좀 더 일찍 왔으면 좋았을걸...
경주 양동마을,고즈넉하고 아름다운 힐링마을♡
경주 양동마을,"입장료 4000원.규모도 정말 크고 예쁜 마을인데,여름에 오기에는 벌레가 너무 많네요ㅠㅠ경주에 있지만 신라시대의 마을이 아닌, 조선시대에 조성된, 유교문화를 품고있는 마을.해설해주시는 시간에 잠깐이라도 설명 들으니 좋네요."
경주 양동마을,와
경주 양동마을,돈 4천원이 아까운게 문제가 아니라 관리가 되고 있느냐 안되고 있느냐의 문제가 큽니다  자주 가는 분들은 아시겠지만 문제가 있거나 하자가 있으면 보수하고 관리를 해야하는데 1년전이나 2년전이나 지금이나 똑같음 저녁에는 무료 입장 쪽문으로 무료 입장도 가능 아는분들은 다 알죠?
경주 양동마을,흐릴때 갔지만 운치있고 좋았습니다아쉬운 것은 마을에 차량이 많이 다녀서 계속 신경을 써야 해요특히 애들하고 갈때는요
경주 양동마을,차 많이 다니고차 세게 다니고먼지 날리고열받아서 차길 가운데 길막아버림들어갈수 없는곳 많고애들도 각시도 다시는 안오고 싶다고 함코스 안내도 허술하고딱 남집 담벼락 근처 기웃거리다 온기분이름에 걸맞는 관리 하시길...
경주 양동마을,"스탬프 때문에 방문은 했지만넓기만 넓고 볼것도 없다 4,000원관광객 대부분 하는말이 한번 오면 다시는 안오겠다."
경주 양동마을,기대한 것보다 별로였어요 안내 책자에 나와있는거 보고 찾으려해도 풀이 자라서 갈 수 없는 길도 많았고 길 모양도 다르고.. 제대로 안내가 안돼있더라구요 그리고 책자에 나와있는 집들중에 사람사는 집 아닌데도 개인사유지라고 못 들어가게 잠겨있는 집이 많았어요 길 찾는다고 수풀 사이 헤매다가 다른 곳도 가보고 싶은데 더 깊이 들어가면 고생할까봐 그냥 적당히 돌아나왔네요. 개인적으론 멀리서봐야 예쁜 곳 같아요.
경주 양동마을,ㄷ ㄷ 내가여길 오 ㅐ !  갔지   ..
경주 양동마을,혹 이시기에 아이들데리고 방문한다면 좀 고려해보심이~그늘하나없는 뙤약볕입니다관가정을 보러갔으나 공사중이었고 대부분의고택이 문을 닫아서 들어갈수가 없어요~관리가안되고있다는 느낌도 받았구요~그거에비해서 입장료가 좀 비싼것같아요~너무 더운시기에 방문해서인지 좋은기억이 아니네요 시기적으로 잘맞는때가 있나봅니다~~
경주 양동마을,230524일 경주여행 중 코스로 넣었는데  입장료를 받으면 관리도 좀 잘하고 마을 동선표시를 잘해서 관광이 쉽도록 개선이 필요함
경주 양동마을,딱히 볼만한건 없어서 아쉬워요
경주 양동마을,볼게 없어요안내판도 제대로 없고 주민들 차량들은 계속 다니고 인상쓰는 주민들....신경 전혀 안쓰는 이상한 곳입니다돈을 왜 받는 것인지? 별 하나도 아깝네요
경주 양동마을,저는 차시간만 아니라면 하루종일 마을에 있고싶었어요. 고즈넉하고 운치있고 평온하고... 입장료4천원이 결코 아깝지않았어요. 유네스코지정되고 이제점점 관광객들도 많아지고 그만큼 대규모자본도 들어오겠죠. 개방하면서 동시에 마을도 지키는 방향이 되었으면 좋겠다는 생각을 했습니다. 상업자본으로 돈벌이의 수단이 되버린 다른 역사유적지나 테마파크와는 다른 무언가를 보여준 양동마을. 위로받고 갑니다. 감사합니다!
경주 양동마을,쾌청한 날씨에 너무 예뻤던 고택 마을.500년 이상 그대로 모습을 유지하고 있는손씨 이씨의 씨족 마을. 참 예쁘다~
경주 양동마을,하루 숙박했는데 운치있고 너무 좋았어요! 관광객들이 없는 시간대여서 그런지 조용하고 마음이편해지는 마을이었어요!
경주 양동마을,"입장료받는거 저는 반감없어요 그런데 그건 관리를 할때의 이야기 같습니다. 차소리가안난다고 어느분은그러셨는데 차 많고,포크레인으로뭐파고있고, 길에 쓰레기가 보기싫어 제가 주웠으나 나갈때까지 쓰레기통이없어서 들고다녀야했으며 사람이 살지않는 집 일 지라도 적당히 경관을 해치지 않는정도의 청소는 해가며 입장료를 받는것이 마땅할것 같은데요.좋은점은 산책하기 적당하고요 집들도 예뻐서 사진이 잘 나오네요"
경주 양동마을,입장료4천원 무척 아까움. 심지어 관광책자에 나와있는 곳도 사유지라고 다 막아놓음. 그들만의 마을이라고 하면 될 듯. 세계문화유산 맞나싶다. 예산도 받을텐데...
경주 양동마을,입장료 받는건 상관없는데 제발 유지 관리 보수좀 해줘요.
경주 양동마을,"정주형(?) 한옥마을. 한옥마을 자체가 주는 느낌은 전주나 안동보다 ""진짜 한옥마을이구나""싶다. 다만 거주민이 계시는 특성상 한옥의 전체 구조를 살펴볼 수 없음은 아쉬웠으며 입구의 문화재 해설 안내문으로 아쉬움을 달랠 수 밖에 없다. 덧붙여 관련 지자체든 누구든 제발 한옥의 위에서 바라본 모습도 같이 안내해줬으면 좋겠다. 안쪽에 들어갈 수 없기 때문에, ㅡ자 배치, ㄷ자 배치, 독특성 등의 설명이 다소 멀게 느껴졌다."
경주 양동마을,고향의정취를 느낄수 있었어요천천히 걸으며..좋습니다^^
경주 양동마을,"Overrated place, people live there so we basically visit where they live and we pay for that??! plus its so hard to come until there by bus, one every hour or hour and a half, and the horse inside is mistreated. So skinny, almost nothing to eat and drink and he seems to be hurt when he walks. Thats insane. Dont go there"
경주 양동마을,아
경주 주상절리 파도소리길,걷기좋은
경주 주상절리 파도소리길,"하서항에서 주상절리조망타워까지 뷰가 정말멋집니다. 주상절리 보고, 바다도 보고, 저멀리 배도 보고...살짝 이국적인 느낌도 들고..동해만의 매력이 있는곳입니다여기도 카페랑 숙박업소가 더 들어서면 제주도꼴 나겠죠?"
경주 주상절리 파도소리길,오랜만에 다시 들려봤네요.둘레길 조성을 잘 해놨어요.아쉬운건...전망대는 올때마다 잠겨있고 펜션이 너무 많이 생겨나고 있다는것....
경주 주상절리 파도소리길,중간에 길 끊어져있음하서항에서 600m정도 보고읍천항으로 다시 보러감
경주 주상절리 파도소리길,"해파랑길 경주구간의 일부이기도 한 파도소리길. 걷기여행을 위해 경주를 찾으신 분이라면 옥산서원 산책길, 삼릉가는길과 함께 추천드리는 코스입니다. 잔잔한 파도와 셀 수 없는 시간을 지나온 주상절리를 보며 여유롭게, 편안하게 걸을 수 있는 길이에요. 보통 읍천항에서 시작해 하서항까지 갔다가 돌아오는 분들이 많은데 양남면 소재지인 하서해안공원까지 가셨다가 버스로 돌아오는 것을 추천합니다. 천천히 걸으면 편도 1시간 30분 정도 소요되니 식사하시고 걷기 딱 좋은 코스랍니다 :D 해맞이 명소로서도 손색없는 곳이니 일출 감상을 원하신다면 부채꼴 주상절리가 있는 전망대 인근을 추천합니다."
경주 주상절리 파도소리길,분위기가 넘 좋았음
경주 주상절리 파도소리길,뷰는 참 좋아요... 주상절리길근데 주차도 별로고ㅎㅎ 좀 아쉬워요 예전같지 않은 것 같아여
경주 주상절리 파도소리길,"철원, 제주와는 다른 형태의 주상절리를 볼 수 있습니다. 용암이 분출된 정확한 위치가 궁금하네요."
경주 주상절리 파도소리길,예쁘긴한데 풀 있는 곳이 전혀 관리가 안되어있어요
경주계림,최고
경주계림,좋다.. 경주는 더 여유 있게 다녀와야 하는 곳이라는 걸 알게 해 주는 곳
경주계림,딱히 찾아갈정도는 아닙니다 솔직히
경주계림,"교촌마을이나 대릉원에서 월성을 가는 길에 대부분 그냥 지나치는 숲 계림. 경주에서 가장 좋아하는 장소 중 한 곳이에요. 경주 김씨의 시조인 김알지의 탄생설화가 전해져오는 곳임과 동시에 한 때 신라의 이름이 계림이라고 불렸을 만큼 신라 역사에서, 경주에서는 상징적인 곳이죠. 그런 역사적인 의미도 좋지만 계림은 사계절 다른 매력이 있는 곳이에요. 새싹이 피어나는 봄에는 싱그러운 봄 분위기를 느낄 수 있고 여름 맥문동이 필 때면 보랏빛이 장관을 이루죠. 계림이 가장 화려한 옷을 입는 가을엔 말이 필요 없습니다. 가을의 계림은 그냥 끝입니다. 겨울엔 다소 쓸쓸하지만 오히려 그래서 오래된 고목들이 더 눈에 잘 들어오죠. 시간이 흐르는 숲 계림은 꼭 방문해보시길. 아, 입구에 있는 회화나무는 무려 1200살! 경주의 천년 숲은 바로 이곳!"
경주계림,좋다
경주계림,"개인적으로 경주를 여행할 때 가장 좋아하는 것 중 하나는 이곳 매우 오래된 숲이라는 계림과 월성으로의 새벽산책이다. 이런 종류의 이른 아침산책 코스 몇 개가 경주를 훨씬 매력적으로 만든다. 부디 인공적이면서 유치하고 게다가 과도하기까지한 되두않은 설치물들로 망가뜨리지말고 ‘폐허의 미학’에 정합적인 분위기가 잘 유지되면 좋겠다. 하나 제안한다면 대릉원에서 동궁/월지까진 이른 아침시간, 예컨대 6시부터 8시까지 아침산책객들을 위해 개방해주면 좋겠다는 것이다. 어차피 그 시간에 거기까지 산책하는 사람들 그리 많지않아 입장료 수입이 줄어 경영에 타격을 입히진 않을거다. 설마 수입땜에 그런다면 너무 야박한 일이고 미처 생각하지 못했던거라면 지금이라도 재고해 보기 바란다. 경주를 훨씬 매력적인 도시로 어필할 수 있다."
경주계림,숲과 나무를 좋아해서 너무 좋았어요..
경주계림,230523일 경주여행 무료 입장기간 일주
경주계림,멋진 소나무숲이 좋습니다.
경주계림,3월말~4월 초중순 봄에 계림 일대는 연중 최고의 시기. 여기뿐만 아니라 경주시 전체가 완전 좋음. 다만 벚꽃과 다양한 봄꽃들이 피는시기라 주차전쟁. 사람 미어터짐. 심지어 톨게이트로 진출하는 본선에서부터 차가 막히는걸 경험 함. 신기 방기. 지방에서 주차난 겪음. 전주처럼 한옥톨게이트 임. 더 크게 짓지하는 아쉬움.
경주계림,야경보러 갔다가 개실망. 그냥 낮에 산책하러가는게 쵝오!
경주계림,"드넓은 숲, 고요한 정적첨성대와 월정교(남천)으로 이어지는 지름길"
경주계림,시원한숲길
경주계림,겨울인데도 산책하기 좋은곳
경주계림,비오는 계림 아무도 없는 계림 짱이다!
경주계림,밤에 월정교에서 첨성대가다 길을 잘못들어서 가본곳ㅋㅋ 낮에 산책하기는 딱인거같아요ㅋ
경주계림,산책하기에 정말 좋은 곳
경주계림,산책하기 좋아요
경주계림,조아
경주동궁원,한번정도는 가볼만 하내요.식물 좋아하시면 괜찮습니다.
경주동궁원,", "
경주동궁원,", "
경주동궁원,어머니와 이모가 엄청 좋아하셨습니다. 평소에 잘 볼 수 없는 새들과 동물들을 볼 수 있어 좋았습니다. 남녀노소 모두가 즐기기 좋은 장소 입니다.
경주동궁원,", "
경주동궁원,보문단지 입구에 있는 사계절 푸르름을 품은 동화속 유리궁전 경주동궁원 입니다 경주동궁원 Gyeongju East Palace Garden 하늘처럼 새처럼. 경주버드파크 Bird Park
경주동궁원,", "
경주동궁원,", "
경주동궁원,"가족끼리 특히 어린이 동반하면 좋을 장소. 새도 있고 나무도 있고. 혼자, 성인이라면 조류학과 학생 아닌 이상 굳이? 그 시간에 호수를 돌며 자연을 누리자."
경주동궁원,", "
경주동궁원,", "
경주동궁원,네이버 예약하면 입장료 4천원!! 겨울에도 따땃해요. 신기한 나무도 많고 볼것도 많고 가족들이랑 힐링했어요. 🌴🌴 주변에 맛집도 많아서 나들이하기 딱입니다
경주동궁원,조용하고 겨울에 식물들 볼 수 있어서 좋았어요관람시간 30분~40분정도
경주동궁원,생각보다 볼게 많아서 좋았습니다 식물원보다는 버드파크가 훨씬 값진 경험이였네요
경주동궁원,", "
경주동궁원,", "
경주동궁원,", "
경주동궁원,겨울에도 안이 더워서 외투 벗어야 함평일에 갔는데 식물들 물주고 있어서 옷에 물이 튐 관람하는 입장에서는 불편했음천천히 여유를 가지고 둘러보면 볼만함
경주동궁원,", "
경주동궁원,5천원 내고 입장했는데 다소 아쉬움이 있습니다.
경주동궁원,", "
경주동궁원,", "
경주동궁원,", "
경주동궁원,", "
경주동궁원,온실 굿~ 어린이들 위주로 체험 프로그램이 있어서 가족이 가기 좋을듯
경주동궁원,식물원 간다고 생각하면 한번 방문해볼만 해요 근데 좀 시설들이 다들 노후된 느낌이 있어요..ㅎㅎ
경주동궁원,봏아뇨
경주동궁원,]
경주동궁원,어떤 ♪♩♩새키가 금붕어  애무새 옆에. 쥐넣어나노
경주동궁원,"t allow us to stay at the cafe unless ordering drinks. Stay away from this place during summer. Probably warm and cozy during winter for sure though."", "
경주동궁원,귀엽게 잘 꾸며져 있었고 다양한 구경거리도 많았습니다!!초록 초록하게 눈이 즐거웠어용 ㅎㅎ
경주동궁원,사람이 평일에도 워낙 많아서 어두워지기전에 명당자리로 가야합니다
경주동궁원,", "
경주동궁원,", "
경주동궁원,", "
경주동궁원,"앵무 앵무 앵무~~~ 새 애기들 이쁘고 활달해요. 버드파크 좁쌀이랑 해바라기씨랑 17,000원어치 먹이고 옴."
경주동궁원,", "
경주동궁원,", "
경주동궁원,", "
경주동궁원,기대안하고 갔는데 만족스러웠습니다.
경주동궁원,버드파크까지 2시간 반 코스4천원이라 동궁원은 가볼만 함
경주동궁원,", "
경주동궁원,", "
경주동궁원,버드파크와동구원이 서로 별도 요금받는게 이해가 안되네요 통합이 좋을듯
경주동궁원,", "
